Brier-Score
RF			END_DT			END_LR			END_NB			PC_DT			PC_LR			PC_NB			MLP
Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic	Base	Sigmoid	Isotonic
0.8826859446508962	0.6166282435713792	0.5683634766440392	0.28850117650222157	0.31459311833374337	0.29602043404465045	0.4147147072655548	0.41378069766323144	0.4474866224868665	0.4909507105287178	0.48193520306548443	0.4852599973133503	0.5840299068343386	0.5611888993552782	0.5591051520278599	0.690965589956406	0.5471687757266104	0.5532145749828306	0.7233019452022093	0.6665610447744669	0.49102910770586594	0.9371456305738706	0.9156992247628131	0.944520364547841
0.5436085917838885	0.3618628444515896	0.37012216867894465	0.3118270792007914	0.32861314353699816	0.32916049168771305	0.3301496496080621	0.35154650737581816	0.3424091315766093	0.7859129079143706	0.6418752738913447	0.5496691285550747	0.4401515081237735	0.4841362356453704	0.46448813638538283	0.293243842596215	0.3149139055000047	0.31743717125422666	0.7136799369194325	0.6278313408427469	0.5232552585924921	0.8784015633200358	0.6472295287511011	0.5980368375187266
0.8463179508937863	0.564012085249766	0.640519609026157	0.2526603618839034	0.271864117516919	0.25691260301384045	0.4367168809952082	0.44595002105629883	0.4477165430759168	0.49474352679498684	0.4764794287559724	0.4350387163843138	0.4782608695652174	0.5198401898761632	0.49678031624877195	0.5760287207598377	0.49255703346578117	0.4749553226079389	0.7330965777564288	0.5611863801166073	0.42861730992758046	0.9345886131382453	0.9166355294554077	0.9372512072031078
0.4934279369574798	0.34430650879783414	0.3581193832769293	0.29597804238047853	0.3180771684721675	0.32038559659648985	0.4716665303270022	0.49243448515897653	0.5152431334063541	0.7543515982244045	0.6696847078641026	0.5758493754443043	0.5217391304347826	0.5653986673440866	0.5439490362165078	0.5471501449398574	0.5422371041093944	0.49254808454125176	0.7755258876150322	0.6733758374604589	0.526231098438327	0.9322725362678048	0.9160351559304983	0.9244267776834457
0.6796070321050898	0.42678697520162445	0.4804485505901944	0.3390145786517286	0.3529563280491215	0.39905661703283324	0.3550650092718451	0.4044060722399045	0.40170059899099964	0.5809164664852476	0.5632876819397195	0.5066016564627317	0.534751549359399	0.5078497745972128	0.4844261666020159	0.4461982352089375	0.41371496269827623	0.4640948499616377	0.7533567721851557	0.5990749359001016	0.46709105552307356	0.8686939750237741	0.6908800064543206	0.7583866935680685
0.6480142839804183	0.4793521801373057	0.42950099903567485	0.27587355554319737	0.3081647578418644	0.30463363639433816	0.41422439776425146	0.42972707324090254	0.4633708827490986	0.726599234897946	0.675798899294356	0.6073392862907431	0.5130434782608696	0.502642451269786	0.48612735372335614	0.3325636656051786	0.3332304413679267	0.31110760558899964	0.4948603056232738	0.4214279570828431	0.3645376054088168	0.857036909632916	0.6325253362524225	0.6089025341656968
0.47391393615601046	0.3188856623260684	0.3428203288624255	0.3056706257273021	0.31453790527799236	0.2936936224002792	0.39344737298091426	0.4208383744116538	0.38201008816898624	0.7911644191803242	0.7145670469001972	0.6493094743779689	0.5284143500821955	0.5063580094026158	0.4985110103242678	0.6095199343907868	0.5349609425090668	0.5304378433450007	0.8193407605051246	0.705161531112687	0.5765009119121637	0.9266608397394107	0.8855152375989486	0.8744273215666568
0.7561892470779732	0.4944402591697261	0.5142169286066915	0.2865511056911919	0.29204189576600065	0.2811771061195237	0.3954228943386556	0.4081375504580038	0.38612503145466925	0.7830846680779248	0.696263803681922	0.604084847773655	0.5198083407275954	0.5259103790049708	0.5052848187824529	0.8240747522239392	0.6154420829219823	0.6642937530860921	0.7845359586532907	0.6992237244149533	0.6060109428962475	0.9284878952151671	0.9077128976145725	0.9305689418865909
0.43780889900375486	0.3324735561353035	0.3476681322931967	0.38366610014394525	0.3772761321407355	0.37374491642716506	0.3691776567951457	0.39045565731893433	0.4012152867068059	0.7413041091802253	0.6482157474737161	0.4802294147869397	0.5471162377994676	0.5172318854225333	0.5010369786009123	0.5088419094435322	0.45237574908431083	0.4038021183471514	0.6628070445578235	0.6367607788972072	0.48385699050184555	0.8945380842812873	0.7155463742530115	0.730290180987523
0.6887559555401909	0.46850784144906327	0.5024330113596701	0.30914035896722747	0.2929907484219876	0.2762712257012523	0.4454383033839993	0.4495668973557472	0.4712570067101897	0.6461926222108761	0.6146516372785771	0.5548528575101846	0.5159768127098853	0.5112299503270934	0.4759235975253168	0.5389329042426373	0.5014758933903349	0.4642013394896495	0.771347870039838	0.6818843079846024	0.6163737865336468	0.8310753033606725	0.6417811473641736	0.6189701681086143
