RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 8.787658410143284e-05, 'min_samples_leaf': 21}	{'max_depth': 3}	{'C': 0.6454960418701872, 'penalty': 'l2'}	{'var_smoothing': 0.627391682804426}	{'max_depth': 3}	{'C': 1.9845190969762105, 'penalty': 'l2'}	{'var_smoothing': 0.5482299064500942}	{'alpha': 0.06308008249349822, 'batch_size': 100, 'power_t': 1.2000561312989486}
{'min_impurity_decrease': 0.007447660735453599, 'min_samples_leaf': 31}	{'max_depth': 3}	{'C': 2.935069363530075, 'penalty': 'l1'}	{'var_smoothing': 0.5858513842348373}	{'max_depth': 3}	{'C': 0.19277885233824565, 'penalty': 'l2'}	{'var_smoothing': 0.45861132524621384}	{'alpha': 0.14184909745757007, 'batch_size': 100, 'power_t': 1.4045914131559947}
{'min_impurity_decrease': 0.0075722066595136925, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 2.4778674136020804, 'penalty': 'l2'}	{'var_smoothing': 0.6294439133345442}	{'max_depth': 3}	{'C': 10.657898295840816, 'penalty': 'l2'}	{'var_smoothing': 0.5955925127571219}	{'alpha': 0.8632232877760324, 'batch_size': 200, 'power_t': 1.926987624361673}
{'min_impurity_decrease': 0.006173275747005459, 'min_samples_leaf': 33}	{'max_depth': 3}	{'C': 2.2602433562224276, 'penalty': 'l1'}	{'var_smoothing': 0.6732923808698442}	{'max_depth': 3}	{'C': 2.0666480069479207, 'penalty': 'l1'}	{'var_smoothing': 0.5878474761251806}	{'alpha': 0.5914023262211235, 'batch_size': 300, 'power_t': 1.134759056014885}
{'min_impurity_decrease': 0.0006857384821418412, 'min_samples_leaf': 2}	{'max_depth': 3}	{'C': 17.14371037875266, 'penalty': 'l1'}	{'var_smoothing': 0.6421956000238555}	{'max_depth': 3}	{'C': 15.876509512825812, 'penalty': 'l1'}	{'var_smoothing': 0.5219157166002548}	{'alpha': 0.29744033862452973, 'batch_size': 400, 'power_t': 1.4473295230817667}
{'min_impurity_decrease': 0.027532566980133767, 'min_samples_leaf': 4}	{'max_depth': 3}	{'C': 18.600864452481115, 'penalty': 'l1'}	{'var_smoothing': 0.620373814653256}	{'max_depth': 3}	{'C': 14.64410003866012, 'penalty': 'l2'}	{'var_smoothing': 0.6475510494530234}	{'alpha': 0.5094307754084507, 'batch_size': 400, 'power_t': 2.492299267703703}
{'min_impurity_decrease': 0.01531541987661469, 'min_samples_leaf': 32}	{'max_depth': 3}	{'C': 5.840367762689075, 'penalty': 'l2'}	{'var_smoothing': 0.6063543378764754}	{'max_depth': 3}	{'C': 4.586069751138023, 'penalty': 'l2'}	{'var_smoothing': 0.5714119652861759}	{'alpha': 0.17319866942584056, 'batch_size': 200, 'power_t': 1.2464539663900824}
{'min_impurity_decrease': 0.008285187305032849, 'min_samples_leaf': 3}	{'max_depth': 3}	{'C': 10.878098835819308, 'penalty': 'l2'}	{'var_smoothing': 0.6852769817973126}	{'max_depth': 3}	{'C': 13.560888609866721, 'penalty': 'l2'}	{'var_smoothing': 0.651420117985684}	{'alpha': 0.4186996294819109, 'batch_size': 200, 'power_t': 2.579067235265941}
{'min_impurity_decrease': 0.0008664797748379039, 'min_samples_leaf': 40}	{'max_depth': 3}	{'C': 1.0610445028763127, 'penalty': 'l2'}	{'var_smoothing': 0.6992835962458794}	{'max_depth': 3}	{'C': 2.090738132853277, 'penalty': 'l1'}	{'var_smoothing': 0.6403046200226442}	{'alpha': 0.4877692660109631, 'batch_size': 500, 'power_t': 2.511056167040293}
{'min_impurity_decrease': 0.00753743360484639, 'min_samples_leaf': 22}	{'max_depth': 3}	{'C': 0.592756462462597, 'penalty': 'l2'}	{'var_smoothing': 0.7597054445841125}	{'max_depth': 3}	{'C': 0.865377655399634, 'penalty': 'l2'}	{'var_smoothing': 0.6237057118039342}	{'alpha': 1.2984514547786155, 'batch_size': 500, 'power_t': 0.738268153315354}
{'min_impurity_decrease': 0.00279911059065885, 'min_samples_leaf': 18}	{'max_depth': 3}	{'C': 19.81266639177703, 'penalty': 'l2'}	{'var_smoothing': 0.6275799858910759}	{'max_depth': 3}	{'C': 3.504631094681939, 'penalty': 'l1'}	{'var_smoothing': 0.6454746005955415}	{'alpha': 0.11097042877250357, 'batch_size': 200, 'power_t': 1.8789461702219228}
{'min_impurity_decrease': 0.005159682395476507, 'min_samples_leaf': 3}	{'max_depth': 3}	{'C': 2.6024341404720683, 'penalty': 'l2'}	{'var_smoothing': 0.5581307045428209}	{'max_depth': 3}	{'C': 3.049896219283069, 'penalty': 'l2'}	{'var_smoothing': 0.7354116689188522}	{'alpha': 1.4466613916326327, 'batch_size': 500, 'power_t': 2.557623180715383}
{'min_impurity_decrease': 0.002972888835060973, 'min_samples_leaf': 10}	{'max_depth': 3}	{'C': 1.8595566124467788, 'penalty': 'l1'}	{'var_smoothing': 0.6962466452474415}	{'max_depth': 3}	{'C': 1.8011634067728488, 'penalty': 'l1'}	{'var_smoothing': 0.5079745154204937}	{'alpha': 0.3857538810996816, 'batch_size': 100, 'power_t': 1.4910456749469057}
