RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 8.787658410143284e-05, 'min_samples_leaf': 21}	{'max_depth': 3}	{'C': 8.56303042123218, 'penalty': 'l2'}	{'var_smoothing': 0.9890115135756001}	{'max_depth': 3}	{'C': 4.9429876354928375, 'penalty': 'l2'}	{'var_smoothing': 0.8915732672802584}	{'alpha': 0.06308008249349822, 'batch_size': 100, 'power_t': 1.2000561312989486}
{'min_impurity_decrease': 0.007447660735453599, 'min_samples_leaf': 31}	{'max_depth': 3}	{'C': 2.935069363530075, 'penalty': 'l1'}	{'var_smoothing': 0.8466624073101339}	{'max_depth': 2}	{'C': 1.87216573343716, 'penalty': 'l2'}	{'var_smoothing': 0.9841918506425767}	{'alpha': 0.14184909745757007, 'batch_size': 100, 'power_t': 1.4045914131559947}
{'min_impurity_decrease': 0.0075722066595136925, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 14.580242810723584, 'penalty': 'l2'}	{'var_smoothing': 0.9649264333226785}	{'max_depth': 2}	{'C': 1.7790450626417431, 'penalty': 'l1'}	{'var_smoothing': 0.5955925127571219}	{'alpha': 0.5010403675001693, 'batch_size': 100, 'power_t': 2.1397153962424342}
{'min_impurity_decrease': 0.014061417134028255, 'min_samples_leaf': 11}	{'max_depth': 3}	{'C': 1.2483538926225834, 'penalty': 'l2'}	{'var_smoothing': 0.8090677157733267}	{'max_depth': 2}	{'C': 2.023802801355151, 'penalty': 'l1'}	{'var_smoothing': 0.7160737883919961}	{'alpha': 2.0204158819628195, 'batch_size': 400, 'power_t': 1.4748270321809072}
{'min_impurity_decrease': 0.0006857384821418412, 'min_samples_leaf': 2}	{'max_depth': 2}	{'C': 3.8842703734708537, 'penalty': 'l1'}	{'var_smoothing': 0.9191090318991818}	{'max_depth': 2}	{'C': 1.2317955313328321, 'penalty': 'l1'}	{'var_smoothing': 0.9080720834133149}	{'alpha': 0.29744033862452973, 'batch_size': 400, 'power_t': 1.4473295230817667}
{'min_impurity_decrease': 0.013415000147746449, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 3.481783266932984, 'penalty': 'l2'}	{'var_smoothing': 0.734693601509504}	{'max_depth': 2}	{'C': 1.9666435463077436, 'penalty': 'l1'}	{'var_smoothing': 0.8962852041098879}	{'alpha': 0.07995037730277127, 'batch_size': 300, 'power_t': 2.7743186814244325}
{'min_impurity_decrease': 0.012639840209929478, 'min_samples_leaf': 1}	{'max_depth': 3}	{'C': 1.8648983121465201, 'penalty': 'l1'}	{'var_smoothing': 0.9993765289232714}	{'max_depth': 2}	{'C': 10.435674072513327, 'penalty': 'l2'}	{'var_smoothing': 0.9095023714416636}	{'alpha': 0.6219997463008934, 'batch_size': 400, 'power_t': 2.3146497640292623}
{'min_impurity_decrease': 0.008285187305032849, 'min_samples_leaf': 3}	{'max_depth': 3}	{'C': 8.250927968102333, 'penalty': 'l2'}	{'var_smoothing': 0.8936130797833973}	{'max_depth': 3}	{'C': 9.629436183475516, 'penalty': 'l2'}	{'var_smoothing': 0.9959045381032603}	{'alpha': 0.5284341865954226, 'batch_size': 100, 'power_t': 2.20425940244696}
{'min_impurity_decrease': 0.004783965236565269, 'min_samples_leaf': 19}	{'max_depth': 3}	{'C': 2.592285731594782, 'penalty': 'l1'}	{'var_smoothing': 0.9720974501308212}	{'max_depth': 2}	{'C': 2.090738132853277, 'penalty': 'l1'}	{'var_smoothing': 0.950016579505167}	{'alpha': 0.5423244362959421, 'batch_size': 400, 'power_t': 0.23412423749074507}
{'min_impurity_decrease': 0.00753743360484639, 'min_samples_leaf': 22}	{'max_depth': 3}	{'C': 2.1340778806393854, 'penalty': 'l2'}	{'var_smoothing': 0.9315667124114334}	{'max_depth': 2}	{'C': 3.1561480747974255, 'penalty': 'l2'}	{'var_smoothing': 0.9845755991780409}	{'alpha': 4.039213747545332, 'batch_size': 400, 'power_t': 2.491534414892902}
