RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
0.2010506952340591	0.31721604498095435	0.1303204174753933	0.4783425508493289	0.3154479691081366	0.12704093713573703	0.5130067652869656	0.42381578344777454
0.31478746568187443	0.3163583750567688	0.12201164993141204	0.46222213312636834	0.31526862528112015	0.12297329250082988	0.4928705972287621	0.4010363301722988
0.33053522661787316	0.3279425535600344	0.13652664318905416	0.47472538351651156	0.33261446704119463	0.12874482397624873	0.5139401919860995	0.48806634565253215
0.3014679442609473	0.3062638086171778	0.13601986377685818	0.4601543155464083	0.322354067144052	0.13660286086642554	0.4791976486933023	0.3418983893474972
0.17315462280982052	0.29846473948337954	0.13826988534581014	0.47938208130447024	0.31076939254149677	0.14190159967133623	0.490066900010828	0.4014715028362315
0.35585296673230016	0.32541613884856785	0.1317536558201649	0.5073434567143564	0.33074831942637245	0.1325194610219963	0.5070758373724913	0.4474070711959065
0.35160461692355205	0.3127630867330864	0.12667789464218432	0.4888902105535193	0.342010163140096	0.12509873325159654	0.4842511477919775	0.4829516303213713
0.32102991636729666	0.3146619544973027	0.13386049497798044	0.5096240939981133	0.3214416691898772	0.13356637611415645	0.5125330977356991	0.44633522983023133
0.22345022765105238	0.31016823869466065	0.1287626763021834	0.4736387074180124	0.32190927849005746	0.12837556188262883	0.5010144413819005	0.3695624384162396
0.3199024963898759	0.3277663532066284	0.14060349856393065	0.48284433741641347	0.3308532132885242	0.13134407980623133	0.5031651918965746	0.3816647255157042
0.25879457120747423	0.3206895813305621	0.13356370966381553	0.5056815232067366	0.3342578145200325	0.13138041878447396	0.49939737612874435	0.49074742212022593
0.28903990581769595	0.3244083949036958	0.14028067880870884	0.458280962160974	0.3251045913921473	0.13964089438829222	0.5013215511598891	0.4011306050199051
0.24355719778638843	0.3141241917430426	0.14099523844032535	0.47252960088707685	0.3198502982357569	0.13747848452763659	0.49379556472435293	0.34763520794621333
0.3733076767633167	0.30700383641046625	0.1302601528134214	0.46391528540467847	0.3067867211794729	0.1264831147419265	0.5032801297390878	0.32950085142126223
0.3481083180237338	0.29997464244059335	0.1428225528534931	0.4910708137070196	0.3141948703524383	0.1423661305253589	0.49976705273732275	0.5250070602858178
0.3591797422939398	0.32798094300414904	0.13750696009266422	0.5040863518167822	0.330478208209042	0.1341305291816519	0.5006966729778692	0.4083602376132074
0.2458358252325609	0.30737800503793555	0.13540877900748918	0.48224661587137985	0.30378353988349954	0.1334630653096133	0.4946439764966555	0.7023505815288567
0.31985766869580157	0.3106014902861262	0.13873068353262424	0.4732860844079465	0.3207751926988525	0.13818927700701564	0.4856095256643088	0.3791996688807708
0.3314635944097906	0.32504739993832366	0.14231956400942072	0.4878241266998541	0.33578858458618316	0.13757341738316145	0.5054630724564152	0.3931561014154765
0.34676598703483397	0.3298429582747882	0.13853015223244303	0.4973717204805056	0.3422898916593351	0.1378773852192002	0.5146140682349712	0.3628395772328206
